2016-03-26 11:07:47 status unpacked libslang2 2.2.2-4ubuntu2
2016-03-26 11:07:48 install libss2 <none> 1.41.14-1ubuntu3
2016-03-26 11:07:48 status half-installed libss2 1.41.14-1ubuntu3
2016-03-26 11:07:48 status unpacked libss2 1.41.14-1ubuntu3
2016-03-26 11:07:48 status unpacked libss2 1.41.14-1ubuntu3
2016-03-26 11:07:48 install libssl0.9.8 <none> 0.9.8o-5ubuntu1
2016-03-26 11:07:48 status half-installed libssl0.9.8 0.9.8o-5ubuntu1
2016-03-26 11:07:48 status unpacked libssl0.9.8 0.9.8o-5ubuntu1
2016-03-26 11:07:48 status unpacked libssl0.9.8 0.9.8o-5ubuntu1
2016-03-26 11:07:48 install libtext-charwidth-perl <none> 0.04-6
2016-03-26 11:07:48 status half-installed libtext-charwidth-perl 0.04-6
2016-03-26 11:07:48 status unpacked libtext-charwidth-perl 0.04-6
2016-03-26 11:07:48 status unpacked libtext-charwidth-perl 0.04-6
2016-03-26 11:07:48 install libtext-iconv-perl <none> 1.7-2
2016-03-26 11:07:48 status half-installed libtext-iconv-perl 1.7-2
2016-03-26 11:07:48 status unpacked libtext-iconv-perl 1.7-2
2016-03-26 11:07:48 status unpacked libtext-iconv-perl 1.7-2
2016-03-26 11:07:48 install libtext-wrapi18n-perl <none> 0.06-7
2016-03-26 11:07:48 status half-installed libtext-wrapi18n-perl 0.06-7
2016-03-26 11:07:48 status unpacked libtext-wrapi18n-perl 0.06-7
2016-03-26 11:07:48 status unpacked libtext-wrapi18n-perl 0.06-7
2016-03-26 11:07:48 install libudev0 <none> 167-0ubuntu3
2016-03-26 11:07:48 status half-installed libudev0 167-0ubuntu3
2016-03-26 11:07:48 status unpacked libudev0 167-0ubuntu3
2016-03-26 11:07:48 status unpacked libudev0 167-0ubuntu3
2016-03-26 11:07:48 install libusb-0.1-4 <none> 2:0.1.12-17
2016-03-26 11:07:48 status half-installed libusb-0.1-4 2:0.1.12-17
2016-03-26 11:07:48 status unpacked libusb-0.1-4 2:0.1.12-17
2016-03-26 11:07:48 status unpacked libusb-0.1-4 2:0.1.12-17
2016-03-26 11:07:48 install libuuid1 <none> 2.17.2-9.1ubuntu4
2016-03-26 11:07:48 status half-installed libuuid1 2.17.2-9.1ubuntu4
2016-03-26 11:07:48 status unpacked libuuid1 2.17.2-9.1ubuntu4
2016-03-26 11:07:48 status unpacked libuuid1 2.17.2-9.1ubuntu4
2016-03-26 11:07:48 install locales <none> 2.13+git20100825-4
2016-03-26 11:07:48 status half-installed locales 2.13+git20100825-4
2016-03-26 11:07:48 status unpacked locales 2.13+git20100825-4
2016-03-26 11:07:48 status unpacked locales 2.13+git20100825-4
2016-03-26 11:07:48 install login <none> 1:4.1.4.2+svn3283-3ubuntu1
2016-03-26 11:07:48 status half-installed login 1:4.1.4.2+svn3283-3ubuntu1
2016-03-26 11:07:48 status unpacked login 1:4.1.4.2+svn3283-3ubuntu1
2016-03-26 11:07:48 status unpacked login 1:4.1.4.2+svn3283-3ubuntu1
2016-03-26 11:07:48 install lsb-base <none> 4.0-0ubuntu11
2016-03-26 11:07:48 status half-installed lsb-base 4.0-0ubuntu11
2016-03-26 11:07:48 status unpacked lsb-base 4.0-0ubuntu11
2016-03-26 11:07:48 status unpacked lsb-base 4.0-0ubuntu11
2016-03-26 11:07:48 install makedev <none> 2.3.1-89ubuntu1
2016-03-26 11:07:48 status half-installed makedev 2.3.1-89ubuntu1
2016-03-26 11:07:48 status unpacked makedev 2.3.1-89ubuntu1
2016-03-26 11:07:48 status unpacked makedev 2.3.1-89ubuntu1
2016-03-26 11:07:48 upgrade mawk 1.3.3-15ubuntu2 1.3.3-15ubuntu2
2016-03-26 11:07:48 status half-configured mawk 1.3.3-15ubuntu2
2016-03-26 11:07:48 status unpacked mawk 1.3.3-15ubuntu2
2016-03-26 11:07:48 status half-installed mawk 1.3.3-15ubuntu2
2016-03-26 11:07:48 status half-installed mawk 1.3.3-15ubuntu2
2016-03-26 11:07:49 status unpacked mawk 1.3.3-15ubuntu2
2016-03-26 11:07:49 status unpacked mawk 1.3.3-15ubuntu2
2016-03-26 11:07:49 install module-init-tools <none> 3.12-1ubuntu6
2016-03-26 11:07:49 status half-installed module-init-tools 3.12-1ubuntu6
2016-03-26 11:07:49 status unpacked module-init-tools 3.12-1ubuntu6
2016-03-26 11:07:49 status unpacked module-init-tools 3.12-1ubuntu6
2016-03-26 11:07:49 install mount <none> 2.17.2-9.1ubuntu4
2016-03-26 11:07:49 status half-installed mount 2.17.2-9.1ubuntu4
2016-03-26 11:07:49 status unpacked mount 2.17.2-9.1ubuntu4
2016-03-26 11:07:49 status unpacked mount 2.17.2-9.1ubuntu4
2016-03-26 11:07:49 install mountall <none> 2.25ubuntu1
